category,comment_text,created_time,source
negative,Service techniques  zero  3andi presque 2 mois w Ena na3mel f des  réclamations  concernant  ligne mta3i matab3athech  des messages w chay service zerooooo jusqu'à  maintenant  mafama  7ata résultat!!,2017-12-27T21:37:59+0125,facebook
negative,Ti7chiw fih chrit clé 4g nsob 40 dinar fisa3 oufet fi 5 jour khw sare9aa ooredoo,2017-12-27T21:37:59+0126,facebook
negative,Sadi9i telecom 5ir mnkom bbaaaarcha Ena me5ou clé  kol chhar 25 go b 25 dt w chahrine  lwella blech  mili wala  esmha ooredoo kothrrt Ken ser9a w ta7ayel,2017-12-27T21:37:59+0127,facebook
negative,Télécom 3andha offre illimité b 30 par mois hhhhhh,2017-12-27T21:37:59+0128,facebook
negative,ya5a ma tbatlouch sar9a ...rakm fa9ertouni e7echmou chway ...chniya hedha,2017-12-27T21:37:59+0129,facebook
positive,MA7lakom,2017-12-27T21:37:59+0130,facebook
negative,"3andi outdoor fixe jdid wel connexion 7ala 0,28 mbps tawa deux mois malla 7ala je pense sérieusement résilier",2017-12-27T21:37:59+0131,facebook
negative,5alliha 3andkom ya akber sar9in 7asbi allah w ne3ma al wakil ,2017-12-27T21:37:59+0132,facebook
positive,Wenti belamtel dima a3wamouka a3yad aminne yarabi,2017-12-27T21:37:59+0133,facebook
negative,ya3ni t7eb twaslelna kol 3am w intouma tesr9o fina b5ir saye wsel frere ??,2017-12-27T21:37:59+0134,facebook
positive,thannnxx ooredoo,2017-12-27T21:37:59+0135,facebook
negative,ooredoo akber sar9a fi tounes allah la tbarkelkom,2017-12-27T21:37:59+0136,facebook
positive,Fidele fidele  leila...!,2017-12-27T21:37:59+0137,facebook
negative,rakom yesser tet7aylou 3 cha3b la3bad kol tetchaka menkom,2017-12-27T21:37:59+0138,facebook
positive,Thanks ?? ooredoo,2017-12-27T21:37:59+0139,facebook
negative,Ooredoo blh 9adech men w 7ed kdhabto 3leh ou 9adech men wa7ed sra9toh ti el cadoOoredoo blh 9adech men w 7ed kdhabto 3leh ou 9adech men wa7ed sra9toh ti el cadowat ta3to fahom kan lel krouz ba3morkom mafara7to 9alb etem eli maya3ref medenya chay,2017-12-27T21:37:59+0140,facebook
positive,ooredoo n7bek w dima nchouf fl page mt3k w nachallh ta3touli talifphone ala 5ater ana snia bac w mazelt ma5dit 7atta taliphone fi chebba na9ra aman natba3 fikom ooredoo w nchalllah ta5dou b5atri w narb7ou w ana n7bkom barcha w nchalllh rabi i5alikom bon travail  ooredoo w nachllh marbou7a lli,2017-12-27T21:37:59+0141,facebook
negative,ken lkethb..nsob dinar wken manetkalmch bih yesrqouh bechway bchway leli nalga solde 12mllimes .belehi eli ya3ref kifech  na3ml m3ahom ha ssoreq ygoli,2017-12-27T21:37:59+0142,facebook
positive,ooredoo rakom behyin w dima mjan7in,2017-12-27T21:37:59+0143,facebook
negative,ooreedou sare9in kadhebin ltawa nestana fi mes pts cadeau mercii  ab3thou msg wfalmou 3a ness w reclamation 3andha chahrin taw w malgré ca manajamtech nbadel mon num,2017-12-27T21:37:59+0144,facebook
negative,Ti rahoum yekhdhbo 3likom blhy chnowa bech yerbho houma ki ya3tiwkom tel rahoum akber kadhaba ou monaf9in,2017-12-27T21:37:59+0145,facebook
negative,ooredoo klatli flousi akber ga7afa,2017-12-27T21:37:59+0146,facebook
positive,m3a ooredoo dima fil 3alali tir w janah m3a a7la afariyet dima m3ak enti rouhi enti salba 3akli,2017-12-27T21:37:59+0147,facebook
positive,Ooredoo m3ak il dinya ta7la w 3ichitna tizha w bil cadouett tchaya5na,2017-12-27T21:37:59+0148,facebook
positive,Ana enheb ooredo na3ref ana ma3ndich ezhar ou 3omri marbehet haja ama en9olelkom bon courage,2017-12-27T21:37:59+0149,facebook
positive,ooredoo n7bek w dima nchouf fl page mt3k w nachallh ta3touli talifphone ala 5ater ana snia bac w mazelt ma5dit 7atta taliphone fi chebba na9ra aman natba3 fikom ooredoo w nchalllah ta5dou b5atri w narb7ou w ana n7bkom barcha w nchalllh rabi i5alikom bon travail  ooredoo w nachllh marbou7a lli,2017-12-27T21:37:59+0150,facebook
positive,Ooredoo thé n'est J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo J aime ooredoo,2017-12-27T21:37:59+0151,facebook
positive,Ooredoo Tunisie????????????????????????????????????????????????????????????????????????????????????????????????????????Ooredoo Tunisie,2017-12-27T21:37:59+0152,facebook
negative,Kii nkoleek console bch tjyblyy play 5 mafhmteech sal7oulnaa cnx yee 3beed aleeh akeyaa w kimaa 9aleek #Hazem <<la3ba ta7lé b 50ms mech b 1000ms :) mo3anet>>,2017-12-27T21:37:59+0153,facebook
negative,Ken 9adito rizo moch 5ir brabi??,2017-12-27T21:37:59+0154,facebook
negative,Maa conx teekom matahla hatta loba. ?????? Moch menkom zeyed.,2017-12-27T21:37:59+0155,facebook
positive,lv youu ooridoo,2017-12-27T21:37:59+0156,facebook
negative,walahi mafhetech 3lech kol lila el cnx ton9os te3 ooredoo,2017-12-27T21:37:59+0157,facebook
negative,PC b 5655 ping cnx 9aleba kolhom frou5 xD,2017-12-27T21:37:59+0158,facebook
positive,Ooredoo tayara,2017-12-27T21:37:59+0159,facebook
negative,Shnya hkeyt ha réseau fy tataouine ???? nbdlouu nkhdmu breseau libia wella kyfeesh ! ??,2017-12-27T21:37:59+0160,facebook
negative,chbih reseau ma9sous 3andna,2017-12-27T21:37:59+0161,facebook
negative,Dima nsob carte n9oum menal9a chay,2017-12-27T21:37:59+0162,facebook
negative,3lech reseau mta3kom ma9sous fi tataouine,2017-12-27T21:37:59+0163,facebook
negative,Bonjour ana no9so bi 9000 facebook 7 jour w matkmliche jim3a fisa3 takmil barbi na7ab na3rif 3alche,2017-12-27T21:37:59+0164,facebook
positive,Ooredoo Tunisie  Community manager mta3kom berjoulia yestahil Bonus fil chahria wel equipe kamla !,2017-12-27T21:37:59+0165,facebook
positive,Chbeba el faza ta3 Arya ?? ama maw warraw fil keynote lbera7 enou Apple mchet el professionals fi making masks fi Hollywood w jarbou trying to fool the iPhone X's face ID w it didn't work,2017-12-27T21:37:59+0166,facebook
negative,ya5i ba3d mta3tiw bonus wla points merci tendmou 3lihom ,2017-12-27T21:37:59+0167,facebook
positive,Merci je suis par mis les gagnants :) n7eb na3ref chnou naw3 telfoun,2017-12-27T21:37:59+0168,facebook
negative,ooredoo tunisie bch ndesactivi l puce ,2017-12-27T21:37:59+0169,facebook
positive,Merci. rbaht o kalemtouni.o koltouli tao naawdo netsalo bik. chnaaml taoa et merci,2017-12-27T21:37:59+0170,facebook
negative,Toul 3omri ncharji bil carta wma rabahtonich mouche normale,2017-12-27T21:37:59+0171,facebook
negative,mansada9chi fama reb7 kolou kethb,2017-12-27T21:37:59+0172,facebook
negative,kan l kethb ana dima nchargi kolou kethb,2017-12-27T21:37:59+0173,facebook
negative,tektheb 3likom ana nchargi f chhar 5 kwaret tektheb ,2017-12-27T21:37:59+0174,facebook
negative,Kol jem3a nsob 5d w bekhleeef kolyoum nsob b 1d w 2d kolyoum w machaaaj3tounaa aala chy,2017-12-27T21:37:59+0175,facebook
negative,Y7cho fih mafihach 3ala l7yat 4ir lkedheb kan thama wa7d rbe7 ygoli haya ..,2017-12-27T21:37:59+0176,facebook
positive,chokran ana m rab7in,2017-12-27T21:37:59+0177,facebook
positive,Ana necharjii dima,2017-12-27T21:37:59+0178,facebook
negative,sam7ouni fil kelma matfahkoum wled bledi Dislike and bye !,2017-12-27T21:37:59+0179,facebook
negative,Raj3ouli flousi  3lach ta5thou b doubel ?,2017-09-12T11:21:18+0000,facebook
negative,Brabii eni win nsob solde f téléphone yetnhawli na3rech 3lech,2017-09-11T10:27:34+0000,facebook
positive,Kiifech na3ml portabilité ana orange w nhb nrj3 ooredoo,2017-09-10T11:14:09+0000,facebook
negative,mini jah a9wa reseau hhhh,2017-09-09T12:50:57+0000,facebook
negative,Jib jdid,2017-09-09T12:02:29+0000,facebook
negative,Athaaaaaaammlmkkkllll pusss hya oreeeedoo ajberrr sar9aaaa 5iiiiittt 9ada krahtha,2017-09-08T20:13:12+0000,facebook
negative,bch thabblouna hhhhhhhhhhhhhh,2017-09-08T10:12:30+0000,facebook
positive,saha OORREDO BELEHY WA9TESH TAMLOU EL FIX JDID FI HAMMAM LIF ?,2017-09-08T01:13:20+0000,facebook
negative,echhar tayara ama service tayara sa3oudeya,2017-09-07T11:17:11+0000,facebook
negative,el ser9a jhar bhar ,2017-09-07T09:50:01+0000,facebook
negative, ya5i normal el réseau 3g 7alaa bfff,2017-09-06T15:27:17+0000,facebook
negative,Service techniques  zero w les réclamations mté3i mahomch ychoufou fihom,2017-09-06T12:10:41+0000,facebook
negative,oridoo normal el connxion ????,2017-09-06T03:17:20+0000,facebook
negative,mala 7alaaa bech nbadalha el puce tt ou orange 5ir ken eser9aaaa,2017-09-05T21:18:41+0000,facebook
positive,"ooreddo beléhii rab777777ouni ,3omri marbe7t",2017-09-05T14:07:11+0000,facebook
negative,hani nchargi kol youm mala kedhb 3anadkom 5iiit,2017-09-05T11:23:08+0000,facebook
negative,l kethb w taflim ,2017-09-05T09:27:19+0000,facebook
negative,Pfffffffffff barcha mssata,2017-09-04T23:16:02+0000,facebook
positive,thannnxx ooredoo,2017-09-04T18:27:17+0000,facebook
negative,service 3al 7iit!!!!,2017-09-04T11:13:21+0000,facebook
negative,Ken el kedheb wlh 9adch men mara sabit w chy,2017-09-06T22:06:27+0000,facebook
positive,bravooo ooredoo,2017-09-08T17:59:25+0000,facebook
negative,Yezi ma chargina..matama chay..,2017-09-07T14:57:39+0000,facebook
negative,ok sad9na klamkom hhhhh,2017-09-09T12:49:25+0000,facebook
negative,Machlaha ooridoo  😈😇😉😯,2017-09-08T21:00:30+0000,facebook
negative,Tag7if 7ata fi internet hh,2017-09-06T01:30:02+0000,facebook
negative,24 heures akahaw :3 dima mtaamlouch haja shiha,2017-09-04T18:18:42+0000,facebook
positive,Ma7leh pub thabel,2017-09-04T13:40:34+0000,facebook
negative,mala 7ala fikommm ouuhh,2017-09-04T10:21:17+0000,facebook
positive,ta7foun barcha barcha,2017-09-04T07:10:39+0000,facebook
negative,t3ayef mala puub ,2017-09-03T21:11:41+0000,facebook
positive,lv youu ooridoo,2017-09-03T20:40:14+0000,facebook
positive,hhhhhhhh lol mala ka3ba da7ek,2017-09-03T17:35:49+0000,facebook
negative,kil 3ada tafflim,2017-09-03T15:20:34+0000,facebook
negative,cha3malna taw fi ha reseau,2017-09-03T13:40:34+0000,facebook
negative,oouh 3al connexion,2017-09-03T11:04:23+0000,facebook
negative,ma5ibou ichahr,2017-09-03T09:42:14+0000,facebook
negative,3leh tna7iwli fi flousii ?,2017-09-03T05:24:50+0000,facebook
negative,Hhhh mazelto ghadik,2017-09-03T01:28:45+0000,facebook
